"Matching.Attribute","Matching.Attribute.1","name","nms.score.avg","nms.score.EE","nms.score.RE","selected","shared name"
"ENSG00000250575.1","ENSG00000250575.1","ENSG00000250575.1","0.009557394408125","0.01911478881625","0.0","false","ENSG00000250575.1"
"GMDS-DT","GMDS-DT","GMDS-DT","3.383366141732285E-4","6.76673228346457E-4","0.0","false","GMDS-DT"
"5_8S_rRNA","5_8S_rRNA","5_8S_rRNA","0.00225144822429233","0.00450289644858466","0.0","false","5_8S_rRNA"
"RNA5-8SN5","RNA5-8SN5","RNA5-8SN5","5.53641732283465E-4","0.00110728346456693","0.0","false","RNA5-8SN5"
"RNA5-8SN3","RNA5-8SN3","RNA5-8SN3","0.00225144822429233","0.00450289644858466","0.0","false","RNA5-8SN3"
"RNA5-8SN4","RNA5-8SN4","RNA5-8SN4","5.53641732283465E-4","0.00110728346456693","0.0","false","RNA5-8SN4"
"RNA5-8SN2","RNA5-8SN2","RNA5-8SN2","5.53641732283465E-4","0.00110728346456693","0.0","false","RNA5-8SN2"
"Asparagine","Asparagine","Asparagine","0.89724830717714","0.875245091399808","0.919251522954472","false","Asparagine"
"Cytosine","Cytosine","Cytosine","0.1959970733977355","0.0","0.391994146795471","false","Cytosine"
"Lysine","Lysine","Lysine","0.5785365079812206","0.0277795925332511","1.12929342342919","false","Lysine"
"Ornithine","Ornithine","Ornithine","0.3737887264142607","0.00799704724409449","0.739580405584427","false","Ornithine"
"Spermidine","Spermidine","Spermidine","0.01116510826771655","0.0223302165354331","0.0","false","Spermidine"
"Pyridoxal","Pyridoxal","Pyridoxal","0.414832848224276","0.160074686410254","0.669591010038298","false","Pyridoxal"
"Thiamine","Thiamine","Thiamine","0.043051530319293124","0.00855068897637795","0.0775523716622083","false","Thiamine"
"Spermine","Spermine","Spermine","0.0680915700787985","0.0","0.136183140157597","false","Spermine"
"MAP3K9","MAP3K9","MAP3K9","0.0","0.0","0.0","false","MAP3K9"
"Hydroxyproline","Hydroxyproline","Hydroxyproline","0.11525646355686259","0.155081446225642","0.0754314808880832","false","Hydroxyproline"
"Glycine","Glycine","Glycine","0.30930833304916167","0.0540834632155534","0.56453320288277","false","Glycine"
"Tetradecylamine","Tetradecylamine","Tetradecylamine","0.0134411909448819","0.0268823818897638","0.0","false","Tetradecylamine"
"GMP","GMP","GMP","0.0036655295056979","0.0","0.0073310590113958","false","GMP"
"Deoxyuridine","Deoxyuridine","Deoxyuridine","0.003998523622047245","0.00799704724409449","0.0","false","Deoxyuridine"
"FAM114A2","FAM114A2","FAM114A2","4.306102362204725E-4","8.61220472440945E-4","0.0","false","FAM114A2"
"ADAT1","ADAT1","ADAT1","3.075787401574805E-4","6.15157480314961E-4","0.0","false","ADAT1"
"DHX8","DHX8","DHX8","6.4591535433071E-4","0.00129183070866142","0.0","false","DHX8"
"CFAP20","CFAP20","CFAP20","1.84547244094488E-4","3.69094488188976E-4","0.0","false","CFAP20"
"C5orf22","C5orf22","C5orf22","3.383366141732285E-4","6.76673228346457E-4","0.0","false","C5orf22"
"EFR3B","EFR3B","EFR3B","6.1515748031496E-5","1.23031496062992E-4","0.0","false","EFR3B"
"METTL2A","METTL2A","METTL2A",,,"0.0","false","METTL2A"
"NUDC","NUDC","NUDC","3.998523622047245E-4","7.99704724409449E-4","0.0","false","NUDC"
"TTLL1","TTLL1","TTLL1","3.690944881889765E-4","7.38188976377953E-4","0.0","false","TTLL1"
"EIF3D","EIF3D","EIF3D","5.84399606299215E-4","0.00116879921259843","0.0","false","EIF3D"
"LONP2","LONP2","LONP2","0.0","0.0","0.0","false","LONP2"
"DMAC2","DMAC2","DMAC2","0.00619936625442535","0.0123987325088507","0.0","false","DMAC2"
"LFNG","LFNG","LFNG","0.0","0.0","0.0","false","LFNG"
"RAD51C","RAD51C","RAD51C","6.1515748031496E-5","1.23031496062992E-4","0.0","false","RAD51C"
"GOSR2","GOSR2","GOSR2","0.00145174349988288","0.00290348699976576","0.0","false","GOSR2"
"CCDC88A","CCDC88A","CCDC88A","7.07431102362205E-4","0.00141486220472441","0.0","false","CCDC88A"
"CNPPD1","CNPPD1","CNPPD1","3.690944881889765E-4","7.38188976377953E-4","0.0","false","CNPPD1"
"SGK1","SGK1","SGK1","2.46062992125984E-4","4.92125984251968E-4","0.0","false","SGK1"
"BHLHE41","BHLHE41","BHLHE41","0.00781510436676495","0.0156302087335299","0.0","false","BHLHE41"
"ATG101","ATG101","ATG101","5.84399606299215E-4","0.00116879921259843","0.0","false","ATG101"
"MEA1","MEA1","MEA1","2.46062992125984E-4","4.92125984251968E-4","0.0","false","MEA1"
"EEF1E1","EEF1E1","EEF1E1","0.0","0.0","0.0","false","EEF1E1"
"GGA3","GGA3","GGA3","1.5378937007874E-4","3.0757874015748E-4","0.0","false","GGA3"
"MRPS26","MRPS26","MRPS26","3.690944881889765E-4","7.38188976377953E-4","0.0","false","MRPS26"
"ELOF1","ELOF1","ELOF1","3.075787401574805E-4","6.15157480314961E-4","0.0","false","ELOF1"
"ACP2","ACP2","ACP2","0.0","0.0","0.0","false","ACP2"
"NAA35","NAA35","NAA35","1.84547244094488E-4","3.69094488188976E-4","0.0","false","NAA35"
"GOLM1","GOLM1","GOLM1","0.00547074936941685","0.0109414987388337","0.0","false","GOLM1"
