feature_id	gene_symbol	chromosome_name	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model	assay	entrez_gene	ensembl_gene	custom_annotation	relationship_to_gene	uniprot	refmet_name	kegg_id	flanking_sequence
P63261	ACTG1	17	-0.00315209770924149	-0.265150648324537	0.258846452906054	17.4753808072793	-0.0248887631615046	-2.75087033912463	0.980358495468956	0.992641765576633	SexMale	~ Sex	prot-pr	71	ENSG00000184009	NA	NA	P63261	NA	NA	NA
Q16890	TPD52L1	6	0.00318497056498476	-0.267062567338465	0.273432508468435	2.60596845813123	0.0243807021831347	0.106469887590666	0.980759358998519	0.992918061739594	SexMale	~ Sex	prot-pr	7164	ENSG00000111907	NA	NA	Q16890	NA	NA	NA
O95164	UBL3	13	-0.00278198067696005	-0.247256991296671	0.241693029942751	7.60372930934712	-0.0236656866369221	-0.869218009396859	0.98134285430008	0.993248672193725	SexMale	~ Sex	prot-pr	5412	ENSG00000122042	NA	NA	O95164	NA	NA	NA
Q9C0D3	ZYG11B	1	-0.00203275895763684	-0.180296907925204	0.17623139000993	-0.81871204167293	-0.023589807981885	-0.229351268153138	0.981383390114515	0.993248672193725	SexMale	~ Sex	prot-pr	79699	ENSG00000162378	NA	NA	Q9C0D3	NA	NA	NA
P51687	SUOX	12	0.00277985572652206	-0.24214120796317	0.247700919416214	23.3546298567623	0.023480030263741	-0.00857424657557321	0.981470007867633	0.993248672193725	SexMale	~ Sex	prot-pr	6821	ENSG00000139531	NA	NA	P51687	NA	NA	NA
O15127	SCAMP2	15	-0.00200256732110207	-0.18311904703592	0.179113912393716	10.3963592545151	-0.0228734507790757	-0.528968514326419	0.981948620565804	0.993603417027457	SexMale	~ Sex	prot-pr	10066	ENSG00000140497	NA	NA	O15127	NA	NA	NA
Q8TF42	UBASH3B	11	0.00477418935988411	-0.430316517029725	0.439864895749493	2.18530745331714	0.0226998175323431	0.0114905218924423	0.98208562463118	0.993612451211358	SexMale	~ Sex	prot-pr	84959	ENSG00000154127	NA	NA	Q8TF42	NA	NA	NA
P69905	HBA1	16	0.00746570223967837	-0.688932618041868	0.703864022521224	NA	0.0221776477976238	2.16866079439177	0.982497642285273	0.993899688205652	SexMale	~ Sex	prot-pr	3039	ENSG00000206172	NA	NA	P69905	NA	NA	NA
Q8TCA0	LRRC20	10	-0.00240950625181663	-0.23520820676647	0.230389194262837	21.6454934998348	-0.0220625731557582	0.0253471337478019	0.982689113091953	0.993952947625195	SexMale	~ Sex	prot-pr	55222	ENSG00000172731	NA	NA	Q8TCA0	NA	NA	NA
Q8N1F7	NUP93	16	0.00182712676010695	-0.171669107894055	0.175323361414269	13.1950048038564	0.0217861834841996	-0.629962752907726	0.982806530192429	0.993952947625195	SexMale	~ Sex	prot-pr	9688	ENSG00000102900	NA	NA	Q8N1F7	NA	NA	NA
Q00872	MYBPC1	12	0.00287990896602613	-0.275982901753824	0.281742719685876	NA	0.0213643995783891	-0.921344760403883	0.983139345080684	0.994096407801428	SexMale	~ Sex	prot-pr	4604	ENSG00000196091	NA	NA	Q00872	NA	NA	NA
Q7Z7H5	TMED4	7	0.00139268923784127	-0.133986502178546	0.136771880654228	7.68634235245267	0.0212816274442651	-0.0923379124120899	0.9832046580382	0.994096407801428	SexMale	~ Sex	prot-pr	222068	ENSG00000158604	NA	NA	Q7Z7H5	NA	NA	NA
O60760	HPGDS	4	0.00460550845594502	-0.448777843549181	0.457988860461071	NA	0.0210142815897612	0.84505751406238	0.98341561328669	0.99418013133674	SexMale	~ Sex	prot-pr	27306	ENSG00000163106	NA	NA	O60760	NA	NA	NA
O75563	SKAP2	7	0.00339759939714719	-0.342148890240923	0.348944089035217	13.4592628666851	0.0203408088220497	0.165600941679652	0.983947037540106	0.994536047016902	SexMale	~ Sex	prot-pr	8935	ENSG00000005020	NA	NA	O75563	NA	NA	NA
P28370	SMARCA1	X	-0.00179272974578364	-0.184998161485911	0.181412701994343	7.38147573996402	-0.0202431927975803	-0.265503823355455	0.98402406508143	0.994536047016902	SexMale	~ Sex	prot-pr	6594	ENSG00000102038	NA	NA	P28370	NA	NA	NA
Q96AE4-2	FUBP1	1	0.0018513106288147	-0.192746585476237	0.196449206733866	NA	0.0196808425265943	0.0636937411247445	0.984467811470363	0.994611985674438	SexMale	~ Sex	prot-pr	8880	ENSG00000162613	NA	NA	Q96AE4-2	NA	NA	NA
Q9Y6D9	MAD1L1	7	-0.000899228249838926	-0.0954284907712438	0.093630034271566	8.57033951149316	-0.0196791440539537	0.405772992960382	0.984469151730245	0.994611985674438	SexMale	~ Sex	prot-pr	8379	ENSG00000002822	NA	NA	Q9Y6D9	NA	NA	NA
Q70UQ0	IKBIP	12	-0.00222998870564956	-0.239414844421586	0.234954867010287	8.76660162336733	-0.0194499388433636	0.0928414880557536	0.984650017330659	0.994611985674438	SexMale	~ Sex	prot-pr	121457	ENSG00000166130	NA	NA	Q70UQ0	NA	NA	NA
P18084	ITGB5	3	0.00192227120282388	-0.204033739562886	0.207878281968533	NA	0.0193082414544322	-0.136683478135091	0.984761831018778	0.994611985674438	SexMale	~ Sex	prot-pr	3693	ENSG00000082781	NA	NA	P18084	NA	NA	NA
O75122-3	CLASP2	3	0.00105034636032248	-0.112322941146614	0.114423633867259	-2.40699528448396	0.0191656841708504	0.300119337886918	0.98487432357358	0.994611985674438	SexMale	~ Sex	prot-pr	23122	ENSG00000163539	NA	NA	O75122-3	NA	NA	NA
Q76FK4	NOL8	9	0.00192073710745819	-0.206992063845467	0.210833538060384	1.42181298769558	0.0190197764185795	0.303777061317127	0.984989460329477	0.994611985674438	SexMale	~ Sex	prot-pr	55035	ENSG00000198000	NA	NA	Q76FK4	NA	NA	NA
Q8IYS2	KIAA2013	1	0.00171241416569874	-0.185691944016827	0.189116772348225	2.34684087677572	0.0189030401979441	-0.102577717347609	0.98508157788032	0.994611985674438	SexMale	~ Sex	prot-pr	90231	ENSG00000116685	NA	NA	Q8IYS2	NA	NA	NA
