"tissue","assay","feature_id","logFC_precawg","CI.L_precawg","CI.R_precawg","adj_p_value_precawg","randomGroupCode","Timepoint","platform","logFC_sex_diff","CI.L_sex_diff","CI.R_sex_diff","adj_p_value_sex_diff","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id"
"blood","transcript-rna-seq","ENSG00000100485.12",0.434625976272349,0.242665975847609,0.626585976697088,0.000200611701322098,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.391559665637655,-0.60479811244562,-0.17832121882969,0.00773715996090845,"6655","SOS2","ENSG00000100485",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000120306.11",0.438983700628757,0.245086696001272,0.632880705256242,0.000201020729235312,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.562317238911318,-0.78972516569019,-0.334909312132447,0.000470529286385611,"84418","CYSTM1","ENSG00000120306",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000130939.20",0.252869353659878,0.141147529290587,0.364591178029168,0.000201151376973134,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.24987394839339,-0.375857123831583,-0.123890772955198,0.00381559436524689,"10277","UBE4B","ENSG00000130939",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000159882.13",0.455874033684138,0.254420023731788,0.657328043636487,0.000201997900960725,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.365195573544566,-0.584009279530587,-0.146381867558544,0.0173172534137053,"7773","ZNF230","ENSG00000159882",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000162702.8",0.502638721189415,0.280407909397503,0.724869532981327,0.000203433062917987,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.368995027642977,-0.605965175261466,-0.132024880024488,0.0299974309188237,"23528","ZNF281","ENSG00000162702",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000165272.16",-0.360450810067872,-0.519814086900529,-0.201087533235216,0.000203775486176965,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.378916088616706,0.194601302443214,0.563230874790198,0.00279568126407226,"360","AQP3","ENSG00000165272",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000159842.16",0.219569642690051,0.122474467754141,0.316664817625961,0.000204131956188649,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.218833889024729,-0.330686839181256,-0.106980938868202,0.00435356707580938,"29","ABR","ENSG00000159842",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000108946.16",0.364014941765519,0.20285939982408,0.525170483706958,0.000208113029700995,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.327799174082612,-0.507256324629875,-0.148342023535349,0.00808111030332957,"5573","PRKAR1A","ENSG00000108946",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000197321.16",0.357730534296729,0.199361270213241,0.516099798380216,0.000208165027827599,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.29266553793625,-0.468993430055207,-0.116337645817292,0.0181264380074849,"6840","SVIL","ENSG00000197321",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000160570.14",0.262104634080493,0.146033518204321,0.378175749956665,0.000209140207297525,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.338104602739814,-0.470784079618982,-0.205425125860646,0.000327237448575335,"162989","DEDD2","ENSG00000160570",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000198898.15",0.341197570447155,0.19004844946504,0.49234669142927,0.000210170386896498,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.273242236177089,-0.43804780473234,-0.108436667621838,0.0182731985767463,"830","CAPZA2","ENSG00000198898",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000162341.18",0.350702326673179,0.195228580075299,0.50617607327106,0.000213286079030211,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.346892609618265,-0.515819122725544,-0.177966096510986,0.00281423836742531,"219931","TPCN2","ENSG00000162341",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000159592.11",0.193415040818922,0.107638671213702,0.279191410424143,0.000213846640953154,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.15383887161352,-0.247359134851355,-0.0603186083756835,0.0193827842796499,"60313","GPBP1L1","ENSG00000159592",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000233461.6",0.551719413705718,0.30705705445106,0.796381772960377,0.000214314884241547,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.421738190251352,-0.711962632462661,-0.131513748040043,0.0480075108011728,NA,NA,"ENSG00000233461",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000179144.5",-0.270392558530456,-0.390348077298592,-0.15043703976232,0.000215489047544739,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.237995381779923,0.0982080161961061,0.37778274736374,0.0149011477497031,"168537","GIMAP7","ENSG00000179144",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000068650.19",0.437087736955976,0.243073047374863,0.631102426537089,0.0002174801938778,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.355494026708105,-0.570088886309785,-0.140899167106426,0.0183486770592552,"23250","ATP11A","ENSG00000068650",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000159399.10",0.412239397870172,0.229120162761286,0.595358632979058,0.000220760493636655,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.474833174068652,-0.676759749100512,-0.272906599036792,0.000844908177660073,"3099","HK2","ENSG00000159399",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000017797.13",0.268738761605558,0.1492686577366,0.388208865474516,0.00022336538885262,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.285840317091571,-0.423296023635916,-0.148384610547226,0.00247963135352902,"10928","RALBP1","ENSG00000017797",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000070814.22",-0.263181812476089,-0.380218542625813,-0.146145082326366,0.000223913649109745,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.239395307041772,0.104875624515855,0.373914989567688,0.010222076733806,"6949","TCOF1","ENSG00000070814",NA,NA,NA,NA
