"uniprot","feature_id","gene_symbol","name","n_measure","n_tissue","n_cell","n_common","hacells_label","emblcells_label","cell label score","cell label","haatlas_label","emblatlas_label","mspatlas_label","msratlas_label","tissue label score","tissue label","Gobal label score (GLS)","Global label"
"O95388","OID21444","CCN4","cellular communication network factor 4",1,1,0,0,"","",0,"","","adrenalgland","","",1,"adrenalgland",1,"adrenalgland"
"O95466","OID20884","FMNL1","formin like 1",6,4,2,2,"monocytes,tcellcd4","monocytes,neutrophils",0.9,"monocytes","common","bonemarrow,spleen","lung,spleen","common",0.9,"spleen",0.9,"monocytes"
"O95498","OID21310","VNN2","vanin 2",6,4,2,0,"neutrophils","neutrophils",2,"neutrophils","spleen","spleen","spleen","spleen",4,"spleen",4,"spleen"
"O95502","OID20191","NPTXR","neuronal pentraxin receptor",6,4,2,2,"tcellcd4","tcellcd4,tcellcd8",1.45,"tcellcd4","common","brain","brain","common",2,"brain",2,"brain"
"O95544","OID20178","NADK","NAD kinase",6,4,2,1,"monocytes,neutrophils","neutrophils",1.45,"neutrophils","bonemarrow,spleen","adrenalgland,liver","spleen","common",1.45,"spleen",1.45,"neutrophils"
"O95633","OID20782","FSTL3","follistatin like 3",4,3,1,1,"","monocytes,neutrophils",0.9,"monocytes.neutrophils","","artery","artery,nerve","common",1.45,"artery",1.45,"artery"
"P00749","OID21124","PLAU","plasminogen activator, urokinase",4,3,1,1,"","neutrophils",1,"neutrophils","","bonemarrow","colon","common",2,"bonemarrow.colon",2,"bonemarrow.colon"
"P00750","OID20247","PLAT","plasminogen activator, tissue type",6,4,2,1,"tcellcd4","neutrophils",2,"neutrophils.tcellcd4","spleen","adiposetissue","nerve","common",3,"adiposetissue.nerve.spleen",3,"adiposetissue.nerve.spleen"
"P01236","OID21033","PRL","prolactin",2,2,0,1,"","",0,"","","common","","liver,pancreas",0.9,"liver.pancreas",0.9,"liver.pancreas"
"P01241","OID20220","GH1","growth hormone 1",2,2,0,1,"","",0,"","","common","","liver,pancreas",0.9,"liver.pancreas",0.9,"liver.pancreas"
"P01258","OID20983","CALCA","calcitonin related polypeptide alpha",3,3,0,0,"","",0,"","","kidney","thyroid","liver",3,"kidney.liver.thyroid",3,"kidney.liver.thyroid"
"P01303","OID21388","NPY","neuropeptide Y",3,3,0,0,"","",0,"","","prostate","esophagus","prostate",2,"prostate",2,"prostate"
"P02144","OID20263","MB","myoglobin",5,4,1,0,"monocytes","",1,"monocytes","heart","heart","muscle","heart,muscle",2.45,"heart",2.45,"heart"
"P02778","OID20697","CXCL10","C-X-C motif chemokine ligand 10",2,1,1,0,"","monocytes",1,"monocytes","","colon,spleen","","",0.9,"colon.spleen",1,"monocytes"
