"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","nms.score.avg","nms.score.EE","nms.score.RE","Outdegree","PartnerOfMultiEdgedNodePairs","SCION.magical.NMS","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.06666666666666667","0","6","6","false","BOLA3","BOLA3","740.1666666666666","0.0015653350000000002","0.002429127","7.01543E-4","0","0","0.00716305295775935","false","0","BOLA3","0"
"0.0","0.0","0.0","0.25","0","4","4","false","SERPINI1","SERPINI1","1264.0","6.40315E-4","5.79087E-4","7.01543E-4","0","0","0.00605448498327489","false","0","SERPINI1","0"
"0.0","0.0","0.0","0.2","0","5","5","false","MSRB1","MSRB1","1062.2","0.001551273","8.27267E-4","0.002275279","0","0","0.00474094838706563","false","0","MSRB1","0"
"0.0","0.0","0.0","0.0","0","4","4","false","ROR1","ROR1","946.75",,,"7.01543E-4","0","0","7.89166869395988E-4","false","0","ROR1","0"
"0.0","0.0","0.0","0.14444444444444443","0","10","10","false","MT-ND6","MT-ND6","722.0","0.006510125","0.012118266","9.01984E-4","0","0","0.0120076916024579","false","0","MT-ND6","0"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","SUCLG1","SUCLG1","1145.5","5.400945E-4","5.79087E-4","5.01102E-4","0","0","0.00224068057519933","false","0","SUCLG1","0"
"0.0","0.0","0.0","0.12727272727272726","0","11","11","false","MT-ND5","MT-ND5","672.0909090909091","0.006560235500000001","0.012118266","0.001002205","0","0","0.0136110910019318","false","0","MT-ND5","0"
"0.0","0.0","0.0","0.3333333333333333","0","4","4","false","ITPRIPL1","ITPRIPL1","1250.5","0.010196524500000002","0.019992167","4.00882E-4","0","0","0.00526209059819306","false","0","ITPRIPL1","0"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","ZNF566","ZNF566","949.75","2.831675E-4","1.65453E-4","4.00882E-4","0","0","0.00209624843423356","false","0","ZNF566","0"
"0.0","0.0","0.0","0.5","0","2","2","false","C6orf163","C6orf163","1476.5",,,"0.007550127","0","0","0.00156244276448554","false","0","C6orf163","0"
"0.0","0.0","0.0","0.0","0","3","3","false","APEH","APEH","1191.3333333333333","5.400945E-4","5.79087E-4","5.01102E-4","0","0","0.00104874922191749","false","0","APEH","0"
"0.0","0.0","0.0","0.1","0","5","5","false","CCDC160","CCDC160","827.8","6.554375E-4","9.09993E-4","4.00882E-4","0","0","0.00667613644125303","false","0","CCDC160","0"
"0.0","0.0","0.0","0.5","0","2","2","false","NDUFAF2","NDUFAF2","1192.0","2.895435E-4","5.79087E-4","0.0","0","0","8.30190204124117E-4","false","0","NDUFAF2","0"
"0.0","0.0","0.0","0.05","0","5","5","false","UQCC3","UQCC3","1048.2","8.646255E-4","8.27267E-4","9.01984E-4","0","0","0.00639498696858554","false","0","UQCC3","0"
"0.0","0.0","0.0","0.16666666666666666","0","6","6","false","ODAD4","ODAD4","880.8333333333334","0.00768934","5.79087E-4","0.014799593","0","0","0.00673372131532184","false","0","ODAD4","0"
"0.0","0.0","0.0","0.16666666666666666","0","4","4","false","TRIQK","TRIQK","936.75","0.0021219763355393778","8.27266710787558E-5","0.004161226","0","0","0.00290823731752243","false","0","TRIQK","0"
"0.0","0.0","0.0","0.2222222222222222","0","10","10","false","GPATCH8","GPATCH8","966.8","0.0239831795","0.029876813","0.018089546","0","0","0.0217305796363822","false","0","GPATCH8","0"
"0.0","0.0","0.0","0.0","0","2","2","false","KDM1B","KDM1B","1270.0","1.002205E-4","0.0","2.00441E-4","0","0","0.00204091209109932","false","0","KDM1B","0"
"0.0","0.0","0.0","0.15","0","5","5","false","FBXO48","FBXO48","688.6","7.16666E-4","3.30907E-4","0.001102425","0","0","0.0047233362790885","false","0","FBXO48","0"
"0.0","0.0","0.0","0.1","0","5","5","false","TLR5","TLR5","745.4","6.729315E-4","7.4454E-4","6.01323E-4","0","0","0.00331324056405191","false","0","TLR5","0"
"0.0","0.0","0.0","0.10457516339869281","0","18","18","false","ATP5F1C","ATP5F1C","422.27777777777777","7.405355E-4","5.79087E-4","9.01984E-4","0","0","0.0526476442966171","false","0","ATP5F1C","0"
"0.0","0.0","0.0","0.05357142857142857","0","8","8","false","TECPR1","TECPR1","727.0","5.63964E-4","8.27267E-4","3.00661E-4","0","0","0.00545816044253794","false","0","TECPR1","0"
"0.0","0.0","0.0","1.0","0","2","2","false","CCDC85C","CCDC85C","1908.5",,,"0.003960785","0","0","0.00229726692793498","false","0","CCDC85C","0"
"0.0","0.0","0.0","0.35","0","5","5","false","ATP6AP1L","ATP6AP1L","1046.6","0.012412861","0.012359368","0.012466354","0","0","0.00712309484410409","false","0","ATP6AP1L","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","PLPP6","PLPP6","1122.0",,,"0.004161226","0","0","0.0022123873988315","false","0","PLPP6","0"
"0.0","0.0","0.0","0.25","0","5","5","false","CIAO2A","CIAO2A","1223.2","0.0025705974999999997","5.79087E-4","0.004562108","0","0","0.00539584167076814","false","0","CIAO2A","0"
"0.0","0.0","0.0","0.1527777777777778","0","9","9","false","COL4A5","COL4A5","892.1111111111111","0.0204095905","0.015179508","0.025639673","0","0","0.0150522460532438","false","0","COL4A5","0"
"0.0","0.0","0.0","0.041666666666666664","0","9","9","false","TMEM120B","TMEM120B","600.2222222222222","0.010624686","3.30907E-4","0.020918465","0","0","0.00677269556008035","false","0","TMEM120B","0"
"0.0","0.0","0.0","0.8333333333333334","0","3","3","false","C21orf62-AS1","C21orf62-AS1","1861.3333333333333","0.0066521745","0.013103908","2.00441E-4","0","0","0.00583685290292949","false","0","C21orf62-AS1","0"
"0.0","0.0","0.0","0.10714285714285714","0","8","8","false","PHB","PHB","892.625","0.0018659965000000001","0.002429127","0.001302866","0","0","0.0219016914822888","false","0","PHB","0"
"0.0","0.0","0.0","0.23333333333333334","0","6","6","false","NHLRC3","NHLRC3","965.0","0.0031194445","0.005637566","6.01323E-4","0","0","0.00910815296309624","false","0","NHLRC3","0"
"0.0","0.0","0.0","0.06666666666666667","0","6","6","false","ENSG00000206549.13","ENSG00000206549.13","837.5","0.0022460665","3.30907E-4","0.004161226","0","0","0.00314823005598236","false","0","ENSG00000206549.13","0"
"0.0","0.0","0.0","0.3","0","5","5","false","CFAP44","CFAP44","1094.0","0.0048425015","3.30907E-4","0.009354096","0","0","0.00520253798633076","false","0","CFAP44","0"
"0.0","0.0","0.0","0.15","0","5","5","false","URM1","URM1","981.4","0.0013322775","0.002263673","4.00882E-4","0","0","0.0100790050845458","false","0","URM1","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","GOLGA2","GOLGA2","1523.0","7.818985E-4","6.61813E-4","9.01984E-4","0","0","0.00346538751428173","false","0","GOLGA2","0"
"0.0","0.0","0.0","0.0","0","4","4","false","ATP5MG","ATP5MG","1023.25","5.814575E-4","6.61813E-4","5.01102E-4","0","0","0.00121204348046181","false","0","ATP5MG","0"
